snippet_id,persona,wcag_criterion,expected,repetition,tool_name,iteration,elapsed_seconds,output_size_bytes,output_truncated,error
8f296b7a417523e9c769761dd41b703c75d90019,ade,2.4.7,passed,1,check_timing_and_timeouts,1,5.911,276,False,
8f296b7a417523e9c769761dd41b703c75d90019,ade,2.4.7,passed,1,check_keyboard_navigation,1,1.585,1462,False,
8f296b7a417523e9c769761dd41b703c75d90019,ade,2.4.7,passed,2,check_keyboard_navigation,1,1.964,1462,False,
8f296b7a417523e9c769761dd41b703c75d90019,ade,2.4.7,passed,2,validate_target_size,1,5.664,496,False,
f1c9efb4c8d1b5f7870c693bce2e6ca046dd768d,ade,2.4.7,failed,0,check_keyboard_navigation,1,1.593,1462,False,
f1c9efb4c8d1b5f7870c693bce2e6ca046dd768d,ade,2.4.7,failed,0,validate_target_size,1,5.707,294,False,
f1c9efb4c8d1b5f7870c693bce2e6ca046dd768d,ade,2.4.7,failed,1,check_keyboard_navigation,1,1.593,1462,False,
f1c9efb4c8d1b5f7870c693bce2e6ca046dd768d,ade,2.4.7,failed,1,validate_target_size,1,5.745,294,False,
f1c9efb4c8d1b5f7870c693bce2e6ca046dd768d,ade,2.4.7,failed,1,check_timing_and_timeouts,1,5.665,276,False,
f1c9efb4c8d1b5f7870c693bce2e6ca046dd768d,ade,2.4.7,failed,1,validate_form_errors_and_labels,1,5.698,130,False,
f1c9efb4c8d1b5f7870c693bce2e6ca046dd768d,ade,2.4.7,failed,2,check_keyboard_navigation,1,1.644,1462,False,
f1c9efb4c8d1b5f7870c693bce2e6ca046dd768d,ade,2.4.7,failed,2,validate_target_size,1,5.691,294,False,
ha-2-4-7-fail-01-focus-suppressed,ade,2.4.7,failed,0,check_keyboard_navigation,1,1.667,1462,False,
ha-2-4-7-fail-01-focus-suppressed,ade,2.4.7,failed,0,validate_target_size,1,5.861,456,False,
ha-2-4-7-fail-01-focus-suppressed,ade,2.4.7,failed,0,validate_form_errors_and_labels,1,6.615,682,False,
ha-2-4-7-fail-01-focus-suppressed,ade,2.4.7,failed,1,check_keyboard_navigation,1,1.733,1462,False,
ha-2-4-7-fail-01-focus-suppressed,ade,2.4.7,failed,1,validate_target_size,1,5.856,456,False,
ha-2-4-7-fail-01-focus-suppressed,ade,2.4.7,failed,1,validate_form_errors_and_labels,1,6.628,682,False,
ha-2-4-7-fail-01-focus-suppressed,ade,2.4.7,failed,2,check_keyboard_navigation,1,1.629,1462,False,
ha-2-4-7-fail-01-focus-suppressed,ade,2.4.7,failed,2,validate_target_size,1,5.67,456,False,
ha-2-4-7-fail-01-focus-suppressed,ade,2.4.7,failed,2,validate_form_errors_and_labels,1,6.648,682,False,
b12f1f45eef29c30197ca3bda79d793cd90eeadd,ade,2.4.7,inapplicable,0,check_keyboard_navigation,1,1.619,1462,False,
b12f1f45eef29c30197ca3bda79d793cd90eeadd,ade,2.4.7,inapplicable,0,validate_target_size,1,5.597,358,False,
b12f1f45eef29c30197ca3bda79d793cd90eeadd,ade,2.4.7,inapplicable,0,check_timing_and_timeouts,1,5.69,276,False,
b12f1f45eef29c30197ca3bda79d793cd90eeadd,ade,2.4.7,inapplicable,0,validate_form_errors_and_labels,1,5.966,130,False,
b12f1f45eef29c30197ca3bda79d793cd90eeadd,ade,2.4.7,inapplicable,1,check_keyboard_navigation,1,1.615,1462,False,
b12f1f45eef29c30197ca3bda79d793cd90eeadd,ade,2.4.7,inapplicable,1,validate_target_size,1,5.652,358,False,
b12f1f45eef29c30197ca3bda79d793cd90eeadd,ade,2.4.7,inapplicable,1,check_timing_and_timeouts,1,5.715,276,False,
b12f1f45eef29c30197ca3bda79d793cd90eeadd,ade,2.4.7,inapplicable,1,validate_form_errors_and_labels,1,5.777,130,False,
b12f1f45eef29c30197ca3bda79d793cd90eeadd,ade,2.4.7,inapplicable,2,check_keyboard_navigation,1,1.683,1462,False,
b12f1f45eef29c30197ca3bda79d793cd90eeadd,ade,2.4.7,inapplicable,2,validate_target_size,1,5.727,358,False,
b12f1f45eef29c30197ca3bda79d793cd90eeadd,ade,2.4.7,inapplicable,2,check_timing_and_timeouts,1,5.746,276,False,
b12f1f45eef29c30197ca3bda79d793cd90eeadd,ade,2.4.7,inapplicable,2,validate_form_errors_and_labels,1,5.735,130,False,
ha-2-5-5-pass-01-large-buttons,ade,2.5.5,passed,0,check_keyboard_navigation,1,1.745,1462,False,
ha-2-5-5-pass-01-large-buttons,ade,2.5.5,passed,0,validate_target_size,1,5.745,195,False,
ha-2-5-5-pass-01-large-buttons,ade,2.5.5,passed,0,check_timing_and_timeouts,1,5.769,276,False,
ha-2-5-5-pass-01-large-buttons,ade,2.5.5,passed,0,validate_form_errors_and_labels,1,5.693,130,False,
